fips_county,fast_food,grocery
21069,4.0,3.0
21071,30.0,11.0
21073,40.0,6.0
21075,4.0,
21079,5.0,
21081,20.0,
21083,17.0,5.0
21085,17.0,6.0
21087,7.0,
21089,17.0,5.0
21091,3.0,
21093,83.0,14.0
21095,23.0,9.0
21097,10.0,3.0
21099,6.0,5.0
21101,36.0,8.0
21103,7.0,
21107,27.0,7.0
21109,5.0,
21111,703.0,138.0
21113,39.0,5.0
21115,18.0,3.0
21117,99.0,21.0
21119,5.0,4.0
21121,25.0,7.0
21123,8.0,
21125,38.0,8.0
21127,8.0,3.0
21129,4.0,
21131,4.0,3.0
21133,14.0,4.0
21135,4.0,4.0
21137,10.0,3.0
21139,3.0,3.0
21141,14.0,6.0
21143,4.0,
21145,84.0,10.0
21147,6.0,4.0
21149,6.0,
21151,66.0,9.0
21153,7.0,
21155,12.0,3.0
21157,23.0,7.0
21159,9.0,4.0
21161,17.0,4.0
21163,11.0,3.0
21167,10.0,3.0
21169,3.0,
21171,7.0,6.0
21173,17.0,4.0
21175,7.0,3.0
21177,19.0,8.0
21179,28.0,6.0
21183,13.0,3.0
21185,29.0,3.0
21187,6.0,
21191,4.0,
21193,25.0,8.0
21195,55.0,18.0
21197,8.0,3.0
21199,47.0,10.0
21203,10.0,3.0
21205,22.0,
21207,9.0,5.0
21209,36.0,3.0
21211,33.0,5.0
21213,20.0,
21215,7.0,
21217,22.0,3.0
21219,6.0,4.0
21221,7.0,
21225,8.0,4.0
21227,113.0,18.0
21229,7.0,3.0
21231,10.0,
21233,8.0,3.0
21235,29.0,7.0
21239,20.0,5.0
22001,35.0,18.0
22003,12.0,
22005,107.0,27.0
22007,7.0,3.0
22009,15.0,8.0
22011,23.0,4.0
22013,6.0,
22015,113.0,14.0
22017,215.0,31.0
22019,186.0,31.0
22021,5.0,3.0
22023,,3.0
22027,8.0,3.0
22029,12.0,3.0
22031,13.0,
22033,454.0,112.0
22037,8.0,
22039,10.0,10.0
22041,14.0,
22043,,3.0
22045,44.0,17.0
22047,16.0,6.0
22049,10.0,
22051,397.0,83.0
22053,17.0,8.0
22055,253.0,53.0
22057,58.0,11.0
22059,11.0,
22061,38.0,5.0
22063,81.0,16.0
22065,6.0,
22067,14.0,3.0
22069,26.0,6.0
22071,362.0,128.0
22073,118.0,26.0
22075,14.0,3.0
22077,9.0,7.0
22079,101.0,16.0
22081,4.0,
22083,7.0,
22085,9.0,6.0
22087,31.0,12.0
22089,31.0,11.0
22091,,3.0
22093,12.0,5.0
22095,32.0,8.0
22097,42.0,28.0
22099,26.0,14.0
22101,34.0,13.0
22103,184.0,33.0
22105,93.0,17.0
22109,87.0,17.0
22111,8.0,
22113,21.0,13.0
22115,33.0,
22117,27.0,11.0
22119,29.0,6.0
22121,21.0,4.0
22123,9.0,3.0
22125,5.0,
22127,6.0,3.0
23001,89.0,20.0
23003,42.0,33.0
23005,271.0,79.0
23007,20.0,14.0
23009,48.0,27.0
23011,92.0,23.0
23013,34.0,16.0
23015,25.0,8.0
23017,25.0,11.0
23019,91.0,34.0
23021,6.0,8.0
23023,25.0,7.0
23025,26.0,13.0
23027,19.0,13.0
23029,14.0,19.0
23031,171.0,43.0
24001,65.0,12.0
24003,555.0,98.0
24005,798.0,160.0
24009,68.0,13.0
24011,17.0,5.0
24013,127.0,28.0
24015,68.0,15.0
24017,130.0,27.0
24019,23.0,6.0
24021,217.0,40.0
24023,31.0,9.0
24025,171.0,37.0
24027,292.0,45.0
24029,12.0,7.0
24031,855.0,199.0
24033,879.0,166.0
24035,37.0,5.0
24037,84.0,17.0
24039,12.0,4.0
24041,36.0,11.0
24043,127.0,29.0
24045,93.0,11.0
24047,92.0,12.0
24510,702.0,265.0
25001,209.0,69.0
25003,112.0,31.0
25005,403.0,92.0
25007,18.0,11.0
25009,602.0,178.0
25011,35.0,19.0
25013,279.0,105.0
25015,99.0,34.0
25017,1349.0,268.0
25019,19.0,5.0
25021,517.0,113.0
25023,340.0,80.0
25025,819.0,203.0
25027,608.0,122.0
26001,6.0,4.0
26003,8.0,5.0
26005,59.0,16.0
26007,21.0,9.0
26009,16.0,6.0
26011,13.0,4.0
26013,6.0,
26015,21.0,10.0
26017,75.0,22.0
26019,13.0,6.0
26021,124.0,26.0
26023,25.0,6.0
26025,103.0,24.0
26027,17.0,6.0
26029,24.0,10.0
26031,16.0,8.0
26033,23.0,11.0
26035,23.0,8.0
26037,47.0,4.0
26039,11.0,
26041,25.0,11.0
26043,18.0,5.0
26045,89.0,11.0
26047,31.0,14.0
26049,283.0,73.0
26051,12.0,7.0
26053,8.0,3.0
26055,93.0,21.0
26057,25.0,3.0
26059,22.0,
26061,22.0,8.0
26063,25.0,8.0
26065,267.0,48.0
26067,27.0,8.0
26069,16.0,7.0
26071,7.0,3.0
26073,44.0,10.0
26075,96.0,19.0
26077,214.0,53.0
26079,8.0,6.0
26081,500.0,97.0
